service_id,monday,tuesday,wednesday,thursday,friday,saturday,sunday,start_date,end_date
"T0","1","1","1","1","1","0","0","20241215","20251213"
"T0+00002","0","0","0","0","1","0","0","20241215","20251213"
"T0+00500","1","1","1","1","0","0","0","20241215","20251213"
"T0+04500","0","0","0","0","1","0","0","20241215","20251213"
"T0+05400","1","1","1","1","1","0","0","20241215","20251213"
"T0+0c500","1","1","1","1","1","0","0","20241215","20251213"
"T0+0e300","1","1","1","1","1","0","0","20241215","20251213"
"T0+0e500","0","1","1","1","1","0","0","20241215","20251213"
"T0+0g500","1","1","1","1","1","0","0","20241215","20251213"
"T0+0h500","1","1","1","1","1","0","0","20241215","20251213"
"T0+0n400","1","1","1","1","1","0","0","20241215","20251213"
"T0+0v400","1","1","1","1","1","0","0","20241215","20251213"
"T0+10500","1","1","1","1","0","0","0","20241215","20251213"
"T0+1c500","1","1","1","1","1","0","0","20241215","20251213"
"T0+1e500","1","1","1","1","1","0","0","20241215","20251213"
"T0+1g500","0","1","1","1","0","0","0","20241215","20251213"
"T0+1h500","1","1","1","1","0","0","0","20241215","20251213"
"T0+1n400","1","1","1","1","1","0","0","20241215","20251213"
"T0+1o400","1","1","1","1","1","0","0","20241215","20251213"
"T0+21500","1","1","1","1","0","0","0","20241215","20251213"
"T0+25500","1","1","1","1","1","0","0","20241215","20251213"
"T0+26500","1","1","1","1","0","0","0","20241215","20251213"
"T0+27500","1","1","1","1","0","0","0","20241215","20251213"
"T0+2f500","1","1","1","1","1","0","0","20241215","20251213"
"T0+2g500","1","1","1","1","1","0","0","20241215","20251213"
"T0+2h500","0","0","0","0","1","0","0","20241215","20251213"
"T0+2l300","1","1","1","1","1","0","0","20241215","20251213"
"T0+2m300","1","1","1","1","0","0","0","20241215","20251213"
"T0+2n400","1","1","1","1","1","0","0","20241215","20251213"
"T0+2o400","1","1","1","1","1","0","0","20241215","20251213"
"T0+37500","1","1","1","1","0","0","0","20241215","20251213"
"T0+39","1","1","1","1","0","0","0","20241215","20251213"
