service_id,date,exception_type
"T0","20241225","2"
"T0","20241226","2"
"T0","20250101","2"
"T0","20250102","2"
"T0","20250418","2"
"T0","20250421","2"
"T0","20250501","2"
"T0","20250529","2"
"T0","20250609","2"
"T0","20250801","2"
"T0+00002","20241220","2"
"T0+00002","20241227","2"
"T0+00002","20250103","2"
"T0+00002","20250110","2"
"T0+00002","20250117","2"
"T0+00002","20250124","2"
"T0+00002","20250131","2"
"T0+00002","20250207","2"
"T0+00002","20250214","2"
"T0+00002","20250221","2"
"T0+00002","20250228","2"
"T0+00002","20250307","2"
"T0+00002","20250314","2"
"T0+00002","20250328","2"
"T0+00002","20250404","2"
"T0+00002","20250411","2"
"T0+00002","20250418","2"
"T0+00002","20250425","2"
"T0+00002","20250502","2"
"T0+00002","20250509","2"
"T0+00002","20250516","2"
"T0+00002","20250523","2"
"T0+00002","20250530","2"
"T0+00002","20250606","2"
"T0+00002","20250613","2"
"T0+00002","20250620","2"
"T0+00002","20250627","2"
"T0+00002","20250704","2"
"T0+00002","20250711","2"
"T0+00002","20250718","2"
"T0+00002","20250725","2"
"T0+00002","20250801","2"
"T0+00002","20250808","2"
"T0+00002","20250815","2"
"T0+00002","20250822","2"
"T0+00002","20250829","2"
"T0+00002","20250905","2"
"T0+00002","20250912","2"
"T0+00002","20250919","2"
"T0+00002","20250926","2"
"T0+00002","20251003","2"
"T0+00002","20251010","2"
"T0+00002","20251017","2"
"T0+00002","20251024","2"
"T0+00002","20251031","2"
"T0+00002","20251107","2"
"T0+00002","20251114","2"
"T0+00002","20251121","2"
"T0+00002","20251128","2"
"T0+00002","20251205","2"
"T0+00002","20251212","2"
"T0+00500","20241225","2"
"T0+00500","20241226","2"
"T0+00500","20241231","2"
"T0+00500","20250101","2"
"T0+00500","20250102","2"
"T0+00500","20250421","2"
"T0+00500","20250501","2"
"T0+00500","20250529","2"
"T0+00500","20250609","2"
"T0+04500","20241220","2"
"T0+04500","20241227","2"
"T0+04500","20250103","2"
"T0+04500","20250110","2"
"T0+04500","20250417","1"
"T0+04500","20250418","2"
"T0+04500","20250430","1"
"T0+04500","20250528","1"
"T0+04500","20250731","1"
"T0+04500","20250801","2"
"T0+05400","20241223","2"
"T0+05400","20241224","2"
"T0+05400","20241225","2"
"T0+05400","20241226","2"
"T0+05400","20241227","2"
"T0+05400","20241230","2"
"T0+05400","20241231","2"
"T0+05400","20250101","2"
"T0+05400","20250102","2"
"T0+05400","20250103","2"
"T0+05400","20250106","2"
"T0+05400","20250107","2"
"T0+05400","20250108","2"
"T0+05400","20250109","2"
"T0+05400","20250110","2"
"T0+05400","20250113","2"
"T0+05400","20250114","2"
"T0+05400","20250115","2"
"T0+05400","20250116","2"
"T0+05400","20250117","2"
"T0+05400","20250120","2"
"T0+05400","20250121","2"
"T0+05400","20250122","2"
"T0+05400","20250123","2"
"T0+05400","20250124","2"
"T0+05400","20250127","2"
"T0+05400","20250128","2"
"T0+05400","20250129","2"
"T0+05400","20250130","2"
"T0+05400","20250131","2"
"T0+05400","20250203","2"
"T0+05400","20250204","2"
"T0+05400","20250205","2"
