route_id,agency_id,route_short_name,route_long_name,route_type,route_color,route_text_color
"10-910-P-j25-1","","910","","3","FFFFFF","000000"
"10-912-P-j25-1","","912","","3","FFFFFF","000000"
"10-916-P-j25-1","","916","","3","FFFFFF","000000"
"10-918-P-j25-1","","918","","3","FFFFFF","000000"
"10-919-P-j25-1","","919","","3","FFFFFF","000000"
"10-91-P-j25-1","","91","","3","FFFFFF","000000"
"1-10-P-j25-1","","10","","0","E12472","FFFFFF"
"11-162-P-j25-1","","162","","3","FFFFFF","000000"
"11-163-P-j25-1","","163","","3","FFFFFF","000000"
"1-11-P-j25-1","","11","","0","00892F","FFFFFF"
"1-12-P-j25-1","","12","","0","92D6E3","000000"
"1-13-P-j25-1","","13","","0","FFCC00","000000"
"1-14-P-j25-1","","14","","0","008DC5","FFFFFF"
"1-15-P-j25-1","","15","","0","E20A16","FFFFFF"
"1-17-P-j25-1","","17","","0","8E224D","FFFFFF"
"1-18-P-j25-1","","19","","0","E20A16","FFFFFF"
"1-1-P-j25-1","","E","","0","E20A16","FFFFFF"
"12-411-P-j25-1","","S18","","2","",""
"12-418-P-j25-1","","S18","","2","EB3C2E","FFFFFF"
"12-419-P-j25-1","","SN18","","2","000000","FFF200"
"1-2-P-j25-1","","2","","0","E20A16","FFFFFF"
"1-3-P-j25-1","","3","","0","00892F","FFFFFF"
"1-4-P-j25-1","","4","","0","11296F","FFFFFF"
"15-23-P-j25-1","","23","","7","FFFFFF","000000"
"15-24-P-j25-1","","24","","7","FFFFFF","000000"
"15-25-P-j25-1","","25","","3","",""
"1-5-P-j25-1","","5","","0","734522","FFFFFF"
"1-6-P-j25-1","","6","","0","CA7D3C","FFFFFF"
"1-7-P-j25-1","","7","","0","000000","FFFFFF"
"1-8-P-j25-1","","8","","0","8AB51F","000000"
"1-9-P-j25-1","","9","","0","11296F","FFFFFF"
"21-101-P-j25-1","","1","","3","8AB51F","000000"
"21-102-P-j25-1","","2","","3","E30513","FFFFFF"
"21-103-P-j25-1","","3","","3","12A537","FFFFFF"
"21-104-P-j25-1","","4","","3","FBB900","000000"
"21-105-P-j25-1","","5","","3","0069B4","FFFFFF"
"21-107-P-j25-1","","7","","3","E73089","FFFFFF"
"21-109-P-j25-1","","9","","3","E77B05","000000"
"21-110-P-j25-1","","10","","3","1C4A87","FFFFFF"
"21-112-P-j25-1","","12","","3","835F38","FFFFFF"
"21-461-P-j25-1","","22","","3","E30513","FFFFFF"
"21-610-P-j25-1","","610","","3","FFFFFF","000000"
"21-611-P-j25-1","","611","","3","FFFFFF","000000"
"21-660-P-j25-1","","660","","3","FFFFFF","000000"
"21-674-P-j25-1","","674","","3","FFFFFF","000000"
"2-31-P-j25-1","","31","","3","A5A2C6","FFFFFF"
"2-32-P-j25-1","","32","","3","CCB2D1","000000"
"2-33-P-j25-1","","33","","3","DAD69C","000000"
"2-46-P-j25-1","","46","","3","C1D59F","000000"
"2-72-P-j25-1","","72","","3","C6A693","000000"
"2-83-P-j25-1","","83","","3","",""
"31-353-P-j25-1","","N45","","3","000000","FFF200"
"31-364-P-j25-1","","N72","","3","000000","FFF200"
"31-365-P-j25-1","","N78","","3","000000","FFF200"
"31-370-P-j25-1","","N62","","3","000000","FFF200"
"31-380-P-j25-1","","N70","","3","000000","FFF200"
"31-389-P-j25-1","","N75","","3","000000","FFF200"
"31-390-P-j25-1","","N76","","3","000000","FFF200"
"31-449-P-j25-1","","449","","3","FFFFFF","000000"
"31-450-P-j25-1","","450","","3","FFFFFF","000000"
"31-451-P-j25-1","","451","","3","FFFFFF","000000"
"31-452-P-j25-1","","452","","3","FFFFFF","000000"
"31-453-P-j25-1","","453","","3","FFFFFF","000000"
"31-454-P-j25-1","","454","","3","FFFFFF","000000"
"31-455-P-j25-1","","455","","3","FFFFFF","000000"
"31-456-P-j25-1","","456","","3","FFFFFF","000000"
"31-485-P-j25-1","","485","","3","FFFFFF","000000"
"31-491-P-j25-1","","491","","3","FFFFFF","000000"
"31-492-P-j25-1","","492","","3","",""
"31-593-P-j25-1","","593","","3","FFFFFF","000000"
"31-640-P-j25-1","","640","","3","FFFFFF","000000"
"31-650-P-j25-1","","650","","3","FFFFFF","000000"
"31-652-P-j25-1","","652","","3","FFFFFF","000000"
"31-655-P-j25-1","","655","","3","FFFFFF","000000"
"31-656-P-j25-1","","656","","3","FFFFFF","000000"
"31-657-P-j25-1","","657","","3","FFFFFF","000000"
"31-658-P-j25-1","","658","","3","FFFFFF","000000"
"31-659-P-j25-1","","659","","3","FFFFFF","000000"
"31-662-P-j25-1","","662","","3","FFFFFF","000000"
"31-700-P-j25-1","","E","","3","",""
"31-720-P-j25-1","","720","","3","FFFFFF","000000"
"31-721-P-j25-1","","721","","3","FFFFFF","000000"
"31-725-P-j25-1","","725","","3","FFFFFF","000000"
"31-726-P-j25-1","","726","","3","FFFFFF","000000"
"31-727-P-j25-1","","727","","3","FFFFFF","000000"
"31-731-P-j25-1","","731","","3","FFFFFF","000000"
"31-732-P-j25-1","","732","","3","FFFFFF","000000"
"31-733-P-j25-1","","733","","3","FFFFFF","000000"
"31-734-P-j25-1","","734","","3","FFFFFF","000000"
"31-735-P-j25-1","","735","","3","FFFFFF","000000"
"31-736-P-j25-1","","736","","3","FFFFFF","000000"
"31-739-P-j25-1","","739","","3","",""
"31-742-P-j25-1","","742","","3","FFFFFF","000000"
"31-748-P-j25-1","","748","","3","FFFFFF","000000"
"31-749-P-j25-1","","749","","3","FFFFFF","000000"
"31-752-P-j25-1","","752","","3","FFFFFF","000000"
"31-754-P-j25-1","","754","","3","FFFFFF","000000"
"31-756-P-j25-1","","756","","3","FFFFFF","000000"
"31-759-P-j25-1","","759","","3","FFFFFF","000000"
"31-760-P-j25-1","","760","","3","FFFFFF","000000"
"31-761-P-j25-1","","761","","3","FFFFFF","000000"
"31-762-P-j25-1","","762","","3","FFFFFF","000000"
"31-765-P-j25-1","","765","","3","FFFFFF","000000"
"31-766-P-j25-1","","766","","3","FFFFFF","000000"
"31-768-P-j25-1","","768","","3","FFFFFF","000000"
"31-769-P-j25-1","","769","","3","FFFFFF","000000"
"31-771-P-j25-1","","771","","3","FFFFFF","000000"
"31-772-P-j25-1","","772","","3","FFFFFF","000000"
"31-773-P-j25-1","","773","","3","",""
"31-774-P-j25-1","","774","","3","",""
"31-781-P-j25-1","","781","","3","FFFFFF","000000"
"31-787-P-j25-1","","787","","3","FFFFFF","000000"
"31-795-P-j25-1","","795","","3","FFFFFF","000000"
"31-796-P-j25-1","","796","","3","FFFFFF","000000"
"31-797-P-j25-1","","797","","3","FFFFFF","000000"
"3-29-P-j25-1","","E","","3","FFFFFF","000000"
"33-433-P-j25-1","","E","","3","",""
"33-435-P-j25-1","","E","","3","",""
"3-37-P-j25-1","","37","","3","FFFFFF","000000"
"3-61-P-j25-1","","61","","3","A9A39B","FFFFFF"
"3-62-P-j25-1","","62","","3","CAC0B6","000000"
"3-66-P-j25-1","","66","","3","FFFFFF","000000"
"3-67-P-j25-1","","67","","3","FFFFFF","000000"
"3-69-P-j25-1","","69","","3","FFFFFF","000000"
"3-70-P-j25-1","","70","","3","FFFFFF","000000"
"3-75-P-j25-1","","75","","3","FFFFFF","000000"
"3-76-P-j25-1","","76","","3","FFFFFF","000000"
"3-77-P-j25-1","","77","","3","FFFFFF","000000"
"3-78-P-j25-1","","78","","3","FFFFFF","000000"
"3-80-P-j25-1","","80","","3","CBCFB3","000000"
"3-89-P-j25-1","","89","","3","FFFFFF","000000"
"3-99-P-j25-1","","99","","3","FFFFFF","000000"
"41-338-P-j25-1","","N84","","3","000000","FFF200"
"41-366-P-j25-1","","N81","","3","000000","FFF200"
"41-367-P-j25-1","","N86","","3","000000","FFF200"
"41-368-P-j25-1","","N87","","3","000000","FFF200"
"41-369-P-j25-1","","N88","","3","000000","FFF200"
"41-371-P-j25-1","","N92","","3","000000","FFF200"
"41-372-P-j25-1","","N95","","3","000000","FFF200"
"41-811-P-j25-1","","811","","3","FFFFFF","000000"
"41-812-P-j25-1","","812","","3","FFFFFF","000000"
"41-813-P-j25-1","","813","","3","FFFFFF","000000"
"41-816-P-j25-1","","816","","3","FFFFFF","000000"
"41-817-P-j25-1","","817","","3","FFFFFF","000000"
"41-818-P-j25-1","","818","","3","FFFFFF","000000"
"41-842-P-j25-1","","842","","3","FFFFFF","000000"
"41-845-P-j25-1","","845","","3","FFFFFF","000000"
"41-846-P-j25-1","","846","","3","FFFFFF","000000"
"41-850-P-j25-1","","850","","3","FFFFFF","000000"
"41-851-P-j25-1","","851","","3","FFFFFF","000000"
"41-852-P-j25-1","","852","","3","FFFFFF","000000"
"41-854-P-j25-1","","854","","3","FFFFFF","000000"
"41-856-P-j25-1","","856","","3","FFFFFF","000000"
"41-857-P-j25-1","","857","","3","FFFFFF","000000"
"41-858-P-j25-1","","858","","3","FFFFFF","000000"
"41-862-P-j25-1","","862","","3","FFFFFF","000000"
"41-867-P-j25-1","","867","","3","FFFFFF","000000"
"41-869-P-j25-1","","869","","3","FFFFFF","000000"
"41-870-P-j25-1","","870","","3","FFFFFF","000000"
"41-871-P-j25-1","","871","","3","FFFFFF","000000"
"41-875-P-j25-1","","875","","3","FFFFFF","000000"
"41-878-P-j25-1","","878","","3","",""
"41-879-P-j25-1","","879","","3","FFFFFF","000000"
"41-880-P-j25-1","","880","","3","FFFFFF","000000"
"41-882-P-j25-1","","882","","3","FFFFFF","000000"
"41-883-P-j25-1","","883","","3","FFFFFF","000000"
"41-884-P-j25-1","","884","","3","FFFFFF","000000"
"41-885-P-j25-1","","885","","3","FFFFFF","000000"
"41-888-P-j25-1","","888","","3","FFFFFF","000000"
"41-905-P-j25-1","","905","","3","",""
