from_stop_id,to_stop_id,transfer_type,min_transfer_time
"ch:1:sloid:10010::20","ch:1:sloid:10010::21","2","60"
"ch:1:sloid:10010::21","ch:1:sloid:10010::20","2","60"
"ch:1:sloid:10012::50","ch:1:sloid:10012::51","2","60"
"ch:1:sloid:10012::51","ch:1:sloid:10012::50","2","60"
"ch:1:sloid:10277::50","ch:1:sloid:10277::51","2","60"
"ch:1:sloid:10277::51","ch:1:sloid:10277::50","2","60"
"ch:1:sloid:10553::20","ch:1:sloid:30811::0","2","60"
"ch:1:sloid:10553::20","ch:1:sloid:30811::1","2","60"
"ch:1:sloid:10553::20","ch:1:sloid:30811::2","2","60"
"ch:1:sloid:10553::20","ch:1:sloid:30811::21","2","60"
"ch:1:sloid:10553::20","ch:1:sloid:30811::50","2","180"
"ch:1:sloid:10741::50","ch:1:sloid:90739::51","2","300"
"ch:1:sloid:11036::50","ch:1:sloid:11036::51","2","60"
"ch:1:sloid:11036::51","ch:1:sloid:11036::50","2","60"
"ch:1:sloid:2471::50","ch:1:sloid:2471::51","2","60"
"ch:1:sloid:2471::51","ch:1:sloid:2471::50","2","60"
"ch:1:sloid:2492::50","ch:1:sloid:2492::51","2","60"
"ch:1:sloid:2492::51","ch:1:sloid:2492::50","2","60"
"ch:1:sloid:2493::50","ch:1:sloid:2493::51","2","60"
"ch:1:sloid:2493::51","ch:1:sloid:2493::50","2","60"
"ch:1:sloid:2494::50","ch:1:sloid:2494::51","2","60"
"ch:1:sloid:2494::51","ch:1:sloid:2494::50","2","60"
"ch:1:sloid:2495::21","ch:1:sloid:2495::50","2","60"
"ch:1:sloid:2495::50","ch:1:sloid:2495::21","2","60"
"ch:1:sloid:2554::50","ch:1:sloid:2554::51","2","240"
"ch:1:sloid:2554::51","ch:1:sloid:2554::50","2","240"
"ch:1:sloid:2559::50","ch:1:sloid:2559::51","2","240"
"ch:1:sloid:2559::50","ch:1:sloid:3709::50","2","240"
"ch:1:sloid:2559::50","ch:1:sloid:3709::51","2","240"
"ch:1:sloid:2559::50","ch:1:sloid:75014::50","2","420"
"ch:1:sloid:2559::51","ch:1:sloid:2559::50","2","240"
"ch:1:sloid:2559::51","ch:1:sloid:3709::50","2","240"
"ch:1:sloid:2559::51","ch:1:sloid:3709::51","2","240"
"ch:1:sloid:2559::51","ch:1:sloid:75014::50","2","420"
"ch:1:sloid:2566:0:296098","ch:1:sloid:2566:0:86030","2","60"
"ch:1:sloid:2566:0:86030","ch:1:sloid:2566:0:296098","2","60"
"ch:1:sloid:2567:0:258800","ch:1:sloid:2567:0:681094","2","60"
"ch:1:sloid:2567:0:681094","ch:1:sloid:2567:0:258800","2","60"
"ch:1:sloid:2570:0:113997","ch:1:sloid:2570:0:471796","2","60"
"ch:1:sloid:2570:0:471796","ch:1:sloid:2570:0:113997","2","60"
"ch:1:sloid:2571:0:309825","ch:1:sloid:2571:0:411661","2","60"
"ch:1:sloid:2571:0:411661","ch:1:sloid:2571:0:309825","2","60"
"ch:1:sloid:2572::0","ch:1:sloid:2572::1","2","60"
"ch:1:sloid:2572::0","ch:1:sloid:2572::10","2","120"
"ch:1:sloid:2572::0","ch:1:sloid:2572::11","2","120"
"ch:1:sloid:2572::1","ch:1:sloid:2572::0","2","60"
"ch:1:sloid:2572::1","ch:1:sloid:2572::10","2","120"
"ch:1:sloid:2572::1","ch:1:sloid:2572::11","2","120"
"ch:1:sloid:2572::10","ch:1:sloid:2572::0","2","120"
"ch:1:sloid:2572::10","ch:1:sloid:2572::1","2","120"
"ch:1:sloid:2572::10","ch:1:sloid:2572::11","2","180"
"ch:1:sloid:2572::11","ch:1:sloid:2572::0","2","120"
"ch:1:sloid:2572::11","ch:1:sloid:2572::1","2","120"
"ch:1:sloid:2572::11","ch:1:sloid:2572::10","2","180"
"ch:1:sloid:2758::50","ch:1:sloid:2758::51","2","60"
"ch:1:sloid:2758::50","ch:1:sloid:2758::52","2","60"
"ch:1:sloid:2758::51","ch:1:sloid:2758::50","2","60"
"ch:1:sloid:2758::51","ch:1:sloid:2758::52","2","60"
"ch:1:sloid:2758::52","ch:1:sloid:2758::50","2","60"
"ch:1:sloid:2758::52","ch:1:sloid:2758::51","2","60"
"ch:1:sloid:2760::50","ch:1:sloid:2760::51","2","30"
"ch:1:sloid:2760::51","ch:1:sloid:2760::50","2","30"
"ch:1:sloid:2763::50","ch:1:sloid:2763::51","2","180"
"ch:1:sloid:2763::51","ch:1:sloid:2763::50","2","180"
"ch:1:sloid:2764::50","ch:1:sloid:2764::51","2","60"
"ch:1:sloid:2764::51","ch:1:sloid:2764::50","2","60"
"ch:1:sloid:2771::50","ch:1:sloid:2771::51","2","60"
"ch:1:sloid:2771::51","ch:1:sloid:2771::50","2","60"
"ch:1:sloid:2776::50","ch:1:sloid:2776::51","2","60"
"ch:1:sloid:2776::51","ch:1:sloid:2776::50","2","60"
"ch:1:sloid:2778::50","ch:1:sloid:2778::51","2","60"
"ch:1:sloid:2778::51","ch:1:sloid:2778::50","2","60"
"ch:1:sloid:2779::51","ch:1:sloid:2779::52","2","60"
"ch:1:sloid:2779::51","ch:1:sloid:82790::53","2","240"
"ch:1:sloid:2779::52","ch:1:sloid:2779::51","2","60"
"ch:1:sloid:2779::52","ch:1:sloid:82790::53","2","240"
"ch:1:sloid:2798::50","ch:1:sloid:2798::51","2","60"
"ch:1:sloid:2798::51","ch:1:sloid:2798::50","2","60"
"ch:1:sloid:2876::50","ch:1:sloid:2876::51","2","60"
"ch:1:sloid:2876::51","ch:1:sloid:2876::50","2","60"
"ch:1:sloid:2879:0:178658","ch:1:sloid:2879:0:6257","2","240"
"ch:1:sloid:2879:0:6257","ch:1:sloid:2879:0:178658","2","240"
"ch:1:sloid:2882::50","ch:1:sloid:2882::51","2","60"
